Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_AKAFA_IAA12154,Image,IAA12154,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12154,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/04f03e79-fa4b-420c-8f6b-2e64c9d77aca/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/04f03e79-fa4b-420c-8f6b-2e64c9d77aca/iiif,,Exterior view to face showing staircase entry to second story
XX_AKAFA_IAA12153,Image,IAA12153,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12153,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8f37b278-a400-4138-970a-e8efcda61ebd/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/8f37b278-a400-4138-970a-e8efcda61ebd/iiif,,Exterior view to shore side amphitheatre
XX_AKAFA_IAA12152,Image,IAA12152,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12152,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/87b46865-2e54-4774-b468-99340c48b0e3/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/87b46865-2e54-4774-b468-99340c48b0e3/iiif,,Elevated view across to hillside
XX_AKAFA_IAA12151,Image,IAA12151,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12151,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/56f8d6e9-da95-4849-8d28-02a0662eb960/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/56f8d6e9-da95-4849-8d28-02a0662eb960/iiif,,Exterior view across piazza
XX_AKAFA_IAA12150,Image,IAA12150,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12150,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/454f14ec-fb2a-4cdb-9ca3-0f8ca6c7df29/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/454f14ec-fb2a-4cdb-9ca3-0f8ca6c7df29/iiif,,Elevated view across  clay rooftops to harbor
XX_AKAFA_IAA12149,Image,IAA12149,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12149,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/05aa1867-f0cc-4a1d-91e4-61396275224c/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/05aa1867-f0cc-4a1d-91e4-61396275224c/iiif,,Exterior view to harbor
XX_AKAFA_IAA12148,Image,IAA12148,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA12148,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2d81d57a-68da-4b56-b73d-ef8b8b659b34/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/2d81d57a-68da-4b56-b73d-ef8b8b659b34/iiif,,Elevated view across harbor to coastline
XX_MCATAKU_DTP104456,Publication,(أنطاليا: الإرث المعماري لمدينة من القرون الوسطى و تطور نسيجها (حتى نهاية القرن السادس عشر,,,,,,,,,,,,Muslim Civilisations abstract the Aga Khan University,DTP104456,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/e774a862-1f43-4580-8ff8-0686b6bec2f3/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/e774a862-1f43-4580-8ff8-0686b6bec2f3/iiif,,
XX_UNKNOWN_AS102761,Site,Kasser Şelalesi Enerji Müzesi,,,,,,,,,,,Türkiye,,AS102761,,,,,,,
XX_UNKNOWN_AS10072,Site,Terracity Retail and Lifestyle Centre,,,,,,,,,,,Türkiye,,AS10072,,,,,,,
